id,title,description,availability,condition,price,link,image_link,brand,google_product_category,additional_image_link,availability_circle_origin.latitude,availability_circle_origin.longitude,availability_circle_radius,availability_circle_radius_unit,availability_postal_codes
banner_41,Medicina CM - Vestibular,Medicina CM - Vestibular - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/graduacao/presencial/medicina,https://storage.googleapis.com/cms-site-integrado/175_Banner_Deskop_MEDICINA_VESTIBULAR_AGENDADO_CENTRO_UNIV_fc180adbba/175_Banner_Deskop_MEDICINA_VESTIBULAR_AGENDADO_CENTRO_UNIV_fc180adbba.jpg,Grupo Integrado,Educação > Medicina,https://storage.googleapis.com/cms-site-integrado/175_Banner_Mobile_MEDICINA_VESTIBULAR_AGENDADO_CENTRO_UNIV_78f0fac31c/175_Banner_Mobile_MEDICINA_VESTIBULAR_AGENDADO_CENTRO_UNIV_78f0fac31c.jpg,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
banner_44,Calculadora ENEM,Calculadora ENEM - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://calculadoraenem.grupointegrado.br/,https://storage.googleapis.com/cms-site-integrado/200_Banner_Desktop_PERSONA_2_CALCULADORA_ENEM_Centro_Universtirario_f4f67dd972/200_Banner_Desktop_PERSONA_2_CALCULADORA_ENEM_Centro_Universtirario_f4f67dd972.jpg,Grupo Integrado,Educação > Graduação,https://storage.googleapis.com/cms-site-integrado/200_Banner_Mobile_PERSONA_2_CALCULADORA_ENEM_Centro_Universtirario_26c3ee7717/200_Banner_Mobile_PERSONA_2_CALCULADORA_ENEM_Centro_Universtirario_26c3ee7717.jpg,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
banner_42,Medicina CM - Portador,Medicina CM - Portador - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/graduacao/presencial/medicina,https://storage.googleapis.com/cms-site-integrado/114_PRO_Medicina_Portador_de_Diploma_Banner_Desktop_fe939b3b87/114_PRO_Medicina_Portador_de_Diploma_Banner_Desktop_fe939b3b87.jpg,Grupo Integrado,Educação > Medicina,https://storage.googleapis.com/cms-site-integrado/114_PRO_Medicina_Portador_de_Diploma_Banner_mobile_7341cdf5e1/114_PRO_Medicina_Portador_de_Diploma_Banner_mobile_7341cdf5e1.jpg,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
banner_16,Graduação EAD,Graduação EAD - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/graduacao/ead,https://storage.googleapis.com/cms-site-integrado/155_Banner_Desktop_EAD_MODULO_1_2026_08af7dbee2/155_Banner_Desktop_EAD_MODULO_1_2026_08af7dbee2.jpg,Grupo Integrado,Educação > Graduação,https://storage.googleapis.com/cms-site-integrado/155_Banner_Mobile_EAD_MODULO_1_2026_571a47fe21/155_Banner_Mobile_EAD_MODULO_1_2026_571a47fe21.jpg,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
banner_39,Graduação presencial ,Graduação presencial  - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/graduacao/presencial,https://storage.googleapis.com/cms-site-integrado/161_Banner_Desk_V2_GRADUACAO_PRESENCIAL_DESDOBRES_afa5b34570/161_Banner_Desk_V2_GRADUACAO_PRESENCIAL_DESDOBRES_afa5b34570.jpg,Grupo Integrado,Educação > Graduação,https://storage.googleapis.com/cms-site-integrado/161_Banner_Mobile_V2_GRADUACAO_PRESENCIAL_DESDOBRES_11bae2f615/161_Banner_Mobile_V2_GRADUACAO_PRESENCIAL_DESDOBRES_11bae2f615.jpg,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
banner_34,Graduação semipresencial,Graduação semipresencial - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/graduacao/semipresencial,https://storage.googleapis.com/cms-site-integrado/159_Banner_Desktop_SEMIPRESENCIAL_DESDOBRES_2026_745282670a/159_Banner_Desktop_SEMIPRESENCIAL_DESDOBRES_2026_745282670a.jpg,Grupo Integrado,Educação > Graduação,https://storage.googleapis.com/cms-site-integrado/159_Banner_Mobile_SEMIPRESENCIAL_DESDOBRES_2026_f815263717/159_Banner_Mobile_SEMIPRESENCIAL_DESDOBRES_2026_f815263717.jpg,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
curso-pagina_5_img1,Direito,Direito - Presencial - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/graduacao/presencial/direito,https://storage.googleapis.com/cms-site-integrado/integrado_Catalogo_Presencial_Direito1920x1080_93ae2c9180/integrado_Catalogo_Presencial_Direito1920x1080_93ae2c9180.png,Grupo Integrado,Educação > Direito,https://storage.googleapis.com/cms-site-integrado/large_integrado_Catalogo_Presencial_Direito1920x1080_93ae2c9180/large_integrado_Catalogo_Presencial_Direito1920x1080_93ae2c9180.png,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
curso-pagina_5_img2,Direito,Direito - Presencial - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/graduacao/presencial/direito,https://storage.googleapis.com/cms-site-integrado/integrado_Catalogo_Presencial_Direito1080x1080_30d24ed9a8/integrado_Catalogo_Presencial_Direito1080x1080_30d24ed9a8.png,Grupo Integrado,Educação > Direito,https://storage.googleapis.com/cms-site-integrado/large_integrado_Catalogo_Presencial_Direito1080x1080_30d24ed9a8/large_integrado_Catalogo_Presencial_Direito1080x1080_30d24ed9a8.png,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
curso-pagina_6_img1,Educação Física - Bacharelado,Educação Física - Bacharelado - Presencial - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/graduacao/presencial/educacao-fisica,https://storage.googleapis.com/cms-site-integrado/integrado_Catalogo_Presencial_Educacao_Fisica1920x1080_a10b4eea95/integrado_Catalogo_Presencial_Educacao_Fisica1920x1080_a10b4eea95.png,Grupo Integrado,Educação > Graduação,https://storage.googleapis.com/cms-site-integrado/large_integrado_Catalogo_Presencial_Educacao_Fisica1920x1080_a10b4eea95/large_integrado_Catalogo_Presencial_Educacao_Fisica1920x1080_a10b4eea95.png,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
curso-pagina_6_img2,Educação Física - Bacharelado,Educação Física - Bacharelado - Presencial - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/graduacao/presencial/educacao-fisica,https://storage.googleapis.com/cms-site-integrado/integrado_Catalogo_Presencial_Educacao_Fisica1080x1080_b71f7f9e30/integrado_Catalogo_Presencial_Educacao_Fisica1080x1080_b71f7f9e30.png,Grupo Integrado,Educação > Graduação,https://storage.googleapis.com/cms-site-integrado/large_integrado_Catalogo_Presencial_Educacao_Fisica1080x1080_b71f7f9e30/large_integrado_Catalogo_Presencial_Educacao_Fisica1080x1080_b71f7f9e30.png,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
